Fecha,T2M_max,PS_max,U10M_max,lat,lon
2025-05-03,6.166371,96715.82,-0.32991272,17.97547,-94.2627
2025-05-04,6.1904287,96715.25,-0.047532693,17.97547,-94.2627
2025-05-05,6.2386384,96662.45,0.14862221,17.97547,-94.2627
2025-05-06,6.3391824,96640.71,0.017157827,17.97547,-94.2627
2025-05-07,6.4822497,96655.79,-0.22992699,17.97547,-94.2627
2025-05-08,6.5921435,96662.48,-0.25141793,17.97547,-94.2627
2025-05-09,6.6795983,96681.41,-0.27280486,17.97547,-94.2627
2025-05-10,6.7173557,96677.87,-0.17246279,17.97547,-94.2627
